               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066646,            0.032073,            0.023244,             0.31447,             0.65632,             0.47721,             0.21614,            0.039781,            0.018795,            0.016686,           0.0033276,           0.0033276,            0.070051
                   1,            0.052603,            0.020833,            0.012757,             0.68534,             0.71058,             0.73284,             0.31049,            0.040397,            0.012731,           0.0043306,           0.0066595,           0.0066595,             0.04005
                   2,            0.053344,            0.016787,           0.0083253,             0.54582,             0.79348,              0.6757,             0.16238,            0.047249,            0.010573,           0.0037411,           0.0099854,           0.0099854,            0.010043
                   3,            0.049743,            0.015495,           0.0062368,             0.92894,             0.84268,             0.93412,              0.5391,            0.035751,            0.009843,           0.0024309,             0.00998,             0.00998,             0.00998
                   4,             0.04108,            0.014668,           0.0056942,             0.94311,             0.93855,             0.96392,              0.6464,            0.024472,           0.0087215,           0.0015295,             0.00998,             0.00998,             0.00998
                   5,            0.034919,            0.014083,           0.0047032,             0.97293,             0.94937,             0.98453,             0.64984,            0.022209,           0.0085684,           0.0014603,           0.0099645,           0.0099645,           0.0099645
                   6,            0.030825,            0.013459,           0.0039938,             0.97974,             0.97132,             0.99256,             0.69782,            0.020955,           0.0081257,           0.0012749,           0.0099446,           0.0099446,           0.0099446
                   7,            0.029792,            0.012994,           0.0034289,             0.98625,             0.97544,             0.99173,             0.68322,            0.020834,           0.0082317,           0.0011594,           0.0099203,           0.0099203,           0.0099203
                   8,            0.029746,             0.01339,           0.0035146,             0.98319,             0.98076,              0.9915,             0.68425,            0.020031,           0.0079707,           0.0011445,           0.0098916,           0.0098916,           0.0098916
                   9,            0.027516,            0.012417,           0.0038961,             0.98828,             0.97325,             0.99185,             0.65735,            0.020113,           0.0079676,            0.001439,           0.0098586,           0.0098586,           0.0098586
